Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Abstaylor,ex2_1_8,19.8964770001,1620
2,Abstaylor,ex2_1_8,21.1271690001,1590
3,Abstaylor,ex2_1_8,22.3124160001,1666
4,Abstaylor,ex2_1_8,17.7415080001,1742
5,Abstaylor,ex2_1_8,15.0241280001,1684
1,Abstaylor,ex2_1_9,17.9481200001,5116
2,Abstaylor,ex2_1_9,10.1756600001,5176
3,Abstaylor,ex2_1_9,19.3851420001,5048
4,Abstaylor,ex2_1_9,13.8612090001,5284
5,Abstaylor,ex2_1_9,9.48756900001,5170
1,Abstaylor,ex6_1_3bis,15.0565610001,11170
2,Abstaylor,ex6_1_3bis,13.0351350001,11170
3,Abstaylor,ex6_1_3bis,13.1993190001,11170
4,Abstaylor,ex6_1_3bis,16.3042070001,11170
5,Abstaylor,ex6_1_3bis,15.3283030001,11170
1,Abstaylor,launch,6.08354900001,308
2,Abstaylor,launch,8.12247700001,492
3,Abstaylor,launch,5.21561800001,232
4,Abstaylor,launch,5.02536600001,248
5,Abstaylor,launch,27.6651830001,2936
1,Abstaylor,ex14_2_7,38.1729350001,9228
2,Abstaylor,ex14_2_7,43.6158850001,10990
3,Abstaylor,ex14_2_7,52.1665330001,12160
4,Abstaylor,ex14_2_7,44.8712310001,9686
5,Abstaylor,ex14_2_7,58.2338000001,12126
1,Abstaylor,ex2_1_9fact,8.74143900001,5032
2,Abstaylor,ex2_1_9fact,8.09789200001,5130
3,Abstaylor,ex2_1_9fact,8.86397100001,5032
4,Abstaylor,ex2_1_9fact,8.29326600001,5132
5,Abstaylor,ex2_1_9fact,9.31326800001,5196
1,Abstaylor,ex6_1_4,0.390524000001,220
2,Abstaylor,ex6_1_4,0.548679000001,290
3,Abstaylor,ex6_1_4,0.458752000001,266
4,Abstaylor,ex6_1_4,0.878480000001,404
5,Abstaylor,ex6_1_4,0.447500000001,224
1,Abstaylor,ex6_2_6,54.7739910001,60318
2,Abstaylor,ex6_2_6,60.5763000001,60246
3,Abstaylor,ex6_2_6,59.6728250001,60128
4,Abstaylor,ex6_2_6,53.0097270001,60444
5,Abstaylor,ex6_2_6,56.4556880001,60392
1,Abstaylor,ex6_2_8,27.0015770001,31930
2,Abstaylor,ex6_2_8,26.9712900001,31810
3,Abstaylor,ex6_2_8,28.4849360001,31686
4,Abstaylor,ex6_2_8,29.8827160001,31866
5,Abstaylor,ex6_2_8,29.4059960001,31866
1,Abstaylor,ex7_3_4,2.42274600001,404
2,Abstaylor,ex7_3_4,2.89309600001,540
3,Abstaylor,ex7_3_4,3.25843500001,680
4,Abstaylor,ex7_3_4,2.42830500001,482
5,Abstaylor,ex7_3_4,2.92807100001,616
1,Abstaylor,ex7_3_4bis,1.63802100001,922
2,Abstaylor,ex7_3_4bis,1.50155400001,946
3,Abstaylor,ex7_3_4bis,2.60884500001,1544
4,Abstaylor,ex7_3_4bis,2.41793500001,1528
5,Abstaylor,ex7_3_4bis,2.58157400001,1458
1,Abstaylor,ex14_2_3,1.69355800001,582
2,Abstaylor,ex14_2_3,1.97472100001,676
3,Abstaylor,ex14_2_3,2.00125100001,692
4,Abstaylor,ex14_2_3,1.57074400001,556
5,Abstaylor,ex14_2_3,1.58901400001,518
1,Abstaylor,haverly,0.774506000001,158
2,Abstaylor,haverly,0.836004000001,152
3,Abstaylor,haverly,0.950582000001,150
4,Abstaylor,haverly,0.919629000001,152
5,Abstaylor,haverly,0.906547000001,152
