Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Hill-climbing-parallel,chem,1374.32956401,903158
2,Hill-climbing-parallel,chem,1304.06072601,909004
3,Hill-climbing-parallel,chem,1317.05656801,894676
4,Hill-climbing-parallel,chem,1302.00955001,899994
5,Hill-climbing-parallel,chem,1333.94478601,912626
1,Hill-climbing-parallel,chem-1,1290.82078101,901290
2,Hill-climbing-parallel,chem-1,1334.12101701,906082
3,Hill-climbing-parallel,chem-1,1309.59591301,906974
4,Hill-climbing-parallel,chem-1,1311.41866401,904970
5,Hill-climbing-parallel,chem-1,1318.65307501,910924
1,Hill-climbing-parallel,chembis,663.992554001,481312
2,Hill-climbing-parallel,chembis,671.550719001,485704
3,Hill-climbing-parallel,chembis,670.885972001,484470
4,Hill-climbing-parallel,chembis,667.772960001,484996
5,Hill-climbing-parallel,chembis,682.521437001,494614
1,Hill-climbing-parallel,ex6_1_3,58.8930630001,17558
2,Hill-climbing-parallel,ex6_1_3,50.4142540001,15848
3,Hill-climbing-parallel,ex6_1_3,49.2816550001,17128
4,Hill-climbing-parallel,ex6_1_3,48.3665360001,15196
5,Hill-climbing-parallel,ex6_1_3,59.2936970001,18166
1,Hill-climbing-parallel,ex6_2_10,354.833835001,330818
2,Hill-climbing-parallel,ex6_2_10,355.917355001,330704
3,Hill-climbing-parallel,ex6_2_10,349.230886001,330596
4,Hill-climbing-parallel,ex6_2_10,348.817164001,330842
5,Hill-climbing-parallel,ex6_2_10,355.036024001,330478
1,Hill-climbing-parallel,ex8_5_1bis,5.24443400001,3612
2,Hill-climbing-parallel,ex8_5_1bis,5.30400400001,3998
3,Hill-climbing-parallel,ex8_5_1bis,4.92625700001,3596
4,Hill-climbing-parallel,ex8_5_1bis,5.24167500001,4094
5,Hill-climbing-parallel,ex8_5_1bis,5.13270400001,3762
1,Hill-climbing-parallel,sambal,1569.15103301,512620
2,Hill-climbing-parallel,sambal,1632.82452901,534344
3,Hill-climbing-parallel,sambal,1652.50833401,540558
4,Hill-climbing-parallel,sambal,1571.26173201,515812
5,Hill-climbing-parallel,sambal,1601.85215101,524056
1,Hill-climbing-parallel,ex6_2_6,42.0944380001,60108
2,Hill-climbing-parallel,ex6_2_6,41.1487970001,60280
3,Hill-climbing-parallel,ex6_2_6,41.6942450001,59782
4,Hill-climbing-parallel,ex6_2_6,41.5493770001,60288
5,Hill-climbing-parallel,ex6_2_6,41.6950060001,60192
1,Hill-climbing-parallel,ex6_2_8,21.1361580001,31616
2,Hill-climbing-parallel,ex6_2_8,19.8135060001,31834
3,Hill-climbing-parallel,ex6_2_8,21.1854380001,31786
