Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Hill-climbing,ex6_2_6,41.1293410001,60436
2,Hill-climbing,ex6_2_6,37.6503020001,60256
3,Hill-climbing,ex6_2_6,36.0634040001,60298
4,Hill-climbing,ex6_2_6,40.2448410001,60092
5,Hill-climbing,ex6_2_6,36.8112720001,59610
1,Hill-climbing,ex6_2_8,17.7619470001,31770
2,Hill-climbing,ex6_2_8,17.5141620001,31762
3,Hill-climbing,ex6_2_8,17.3187670001,31864
4,Hill-climbing,ex6_2_8,17.9029110001,32014
5,Hill-climbing,ex6_2_8,17.2295900001,31708
1,Hill-climbing,ex6_2_9,14.2988770001,21432
2,Hill-climbing,ex6_2_9,14.2038660001,21432
3,Hill-climbing,ex6_2_9,15.1575600001,21432
4,Hill-climbing,ex6_2_9,15.5078100001,21432
5,Hill-climbing,ex6_2_9,16.6234090001,21432
1,Hill-climbing,ex6_2_12,4.76087600001,7818
2,Hill-climbing,ex6_2_12,4.73458800001,7818
3,Hill-climbing,ex6_2_12,4.50366100001,7818
4,Hill-climbing,ex6_2_12,4.81277800001,7818
5,Hill-climbing,ex6_2_12,5.06641500001,7818
1,Hill-climbing,ex8_4_4bis,48.7665290001,77790
2,Hill-climbing,ex8_4_4bis,49.9478920001,79098
3,Hill-climbing,ex8_4_4bis,49.0214160001,77506
4,Hill-climbing,ex8_4_4bis,48.7451600001,79162
5,Hill-climbing,ex8_4_4bis,47.4342860001,76748
1,Hill-climbing,ex14_2_7,35.6910660001,12878
2,Hill-climbing,ex14_2_7,35.2534280001,11776
3,Hill-climbing,ex14_2_7,40.7700670001,14064
4,Hill-climbing,ex14_2_7,35.6769500001,13796
5,Hill-climbing,ex14_2_7,33.8095710001,12142
1,Hill-climbing,ex6_1_3bis,9.28288300001,11018
2,Hill-climbing,ex6_1_3bis,8.81151300001,11018
3,Hill-climbing,ex6_1_3bis,8.52720600001,11018
4,Hill-climbing,ex6_1_3bis,9.45463700001,11018
5,Hill-climbing,ex6_1_3bis,8.63247400001,11018
1,Hill-climbing,ex2_1_9,5.92737800001,5202
2,Hill-climbing,ex2_1_9,5.62388400001,5224
3,Hill-climbing,ex2_1_9,7.22852400001,5022
4,Hill-climbing,ex2_1_9,6.08921400001,5132
5,Hill-climbing,ex2_1_9,5.91242700001,5188
1,Hill-climbing,himmel16,7.75029200001,2060
2,Hill-climbing,himmel16,14.3454150001,4178
3,Hill-climbing,himmel16,9.43792900001,2790
4,Hill-climbing,himmel16,16.0112160001,4554
5,Hill-climbing,himmel16,15.6234770001,4174
1,Hill-climbing,ex2_1_7,9.74532000001,2592
2,Hill-climbing,ex2_1_7,9.26492100001,2296
3,Hill-climbing,ex2_1_7,10.2367970001,2548
4,Hill-climbing,ex2_1_7,9.85102900001,2356
5,Hill-climbing,ex2_1_7,9.82672400001,2428
1,Hill-climbing,ex2_1_8,9.32603300001,1718
2,Hill-climbing,ex2_1_8,9.94470800001,1796
3,Hill-climbing,ex2_1_8,7.38526600001,1522
4,Hill-climbing,ex2_1_8,7.72818500001,1698
5,Hill-climbing,ex2_1_8,7.53343800001,1552
1,Hill-climbing,launch,16.2764690001,4434
2,Hill-climbing,launch,4.47851400001,358
3,Hill-climbing,launch,28.2605360001,4814
4,Hill-climbing,launch,2.93289400001,202
5,Hill-climbing,launch,27.3311260001,3914
