Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Simulated-annealing-joa-parallel,chem,1525.97889501,907256
2,Simulated-annealing-joa-parallel,chem,1488.91769501,904148
3,Simulated-annealing-joa-parallel,chem,1507.62976001,907930
4,Simulated-annealing-joa-parallel,chem,1507.91149201,909044
5,Simulated-annealing-joa-parallel,chem,1486.46401701,908180
1,Simulated-annealing-joa-parallel,chem-1,1492.46986601,904198
2,Simulated-annealing-joa-parallel,chem-1,1494.23482501,906868
3,Simulated-annealing-joa-parallel,chem-1,1539.82785501,907776
4,Simulated-annealing-joa-parallel,chem-1,1489.38603101,902588
5,Simulated-annealing-joa-parallel,chem-1,1465.97963901,899832
1,Simulated-annealing-joa-parallel,chembis,775.670132001,485002
2,Simulated-annealing-joa-parallel,chembis,775.228160001,480456
3,Simulated-annealing-joa-parallel,chembis,758.078547001,481574
4,Simulated-annealing-joa-parallel,chembis,761.504996001,482042
5,Simulated-annealing-joa-parallel,chembis,751.522591001,478990
1,Simulated-annealing-joa-parallel,ex6_1_3,46.9904670001,15282
2,Simulated-annealing-joa-parallel,ex6_1_3,59.3446860001,18376
3,Simulated-annealing-joa-parallel,ex6_1_3,76.8974500001,23674
4,Simulated-annealing-joa-parallel,ex6_1_3,53.8155750001,18784
5,Simulated-annealing-joa-parallel,ex6_1_3,57.2102830001,17464
1,Simulated-annealing-joa-parallel,ex6_2_10,413.249675001,330974
2,Simulated-annealing-joa-parallel,ex6_2_10,409.414186001,330916
3,Simulated-annealing-joa-parallel,ex6_2_10,413.485812001,331014
4,Simulated-annealing-joa-parallel,ex6_2_10,421.643953001,330694
5,Simulated-annealing-joa-parallel,ex6_2_10,420.406177001,330910
1,Simulated-annealing-joa-parallel,ex8_5_1bis,5.99586000001,3736
2,Simulated-annealing-joa-parallel,ex8_5_1bis,6.72455600001,3896
3,Simulated-annealing-joa-parallel,ex8_5_1bis,6.49298100001,3772
4,Simulated-annealing-joa-parallel,ex8_5_1bis,6.33625000001,3664
5,Simulated-annealing-joa-parallel,ex8_5_1bis,5.86987600001,3816
1,Simulated-annealing-joa-parallel,sambal,1673.14066501,522442
2,Simulated-annealing-joa-parallel,sambal,1613.93162501,497006
3,Simulated-annealing-joa-parallel,sambal,1729.82364601,534838
4,Simulated-annealing-joa-parallel,sambal,1607.59229901,499798
5,Simulated-annealing-joa-parallel,sambal,1581.38913401,492128
1,Simulated-annealing-joa-parallel,ex6_2_6,53.6994070001,60080
2,Simulated-annealing-joa-parallel,ex6_2_6,54.5708740001,60348
3,Simulated-annealing-joa-parallel,ex6_2_6,54.6618800001,59810
4,Simulated-annealing-joa-parallel,ex6_2_6,53.1420450001,60270
5,Simulated-annealing-joa-parallel,ex6_2_6,53.7441460001,60396
1,Simulated-annealing-joa-parallel,ex6_2_8,25.7212510001,31702
2,Simulated-annealing-joa-parallel,ex6_2_8,28.9519380001,31734
3,Simulated-annealing-joa-parallel,ex6_2_8,26.1334670001,31808
4,Simulated-annealing-joa-parallel,ex6_2_8,27.9595400001,31718
5,Simulated-annealing-joa-parallel,ex6_2_8,26.4697750001,31842
1,Simulated-annealing-joa-parallel,ex6_2_9,22.4842870001,21476
2,Simulated-annealing-joa-parallel,ex6_2_9,19.8477130001,21454
3,Simulated-annealing-joa-parallel,ex6_2_9,21.2025540001,21486
4,Simulated-annealing-joa-parallel,ex6_2_9,19.7445990001,21490
5,Simulated-annealing-joa-parallel,ex6_2_9,19.8341640001,21474
1,Simulated-annealing-joa-parallel,ex6_2_12,7.24735900001,7808
2,Simulated-annealing-joa-parallel,ex6_2_12,7.13178800001,7758
3,Simulated-annealing-joa-parallel,ex6_2_12,6.92066000001,7816
4,Simulated-annealing-joa-parallel,ex6_2_12,6.35672300001,7818
5,Simulated-annealing-joa-parallel,ex6_2_12,6.60077200001,7860
1,Simulated-annealing-joa-parallel,ex8_4_4bis,74.2549740001,78772
2,Simulated-annealing-joa-parallel,ex8_4_4bis,68.4939280001,77222
3,Simulated-annealing-joa-parallel,ex8_4_4bis,70.1320820001,78450
4,Simulated-annealing-joa-parallel,ex8_4_4bis,72.8508600001,77130
5,Simulated-annealing-joa-parallel,ex8_4_4bis,68.9316770001,77732
1,Simulated-annealing-joa-parallel,ex14_2_7,36.5942490001,11566
2,Simulated-annealing-joa-parallel,ex14_2_7,46.3864260001,14836
3,Simulated-annealing-joa-parallel,ex14_2_7,41.4773760001,13516
4,Simulated-annealing-joa-parallel,ex14_2_7,42.7605830001,13652
5,Simulated-annealing-joa-parallel,ex14_2_7,43.0614050001,13624
1,Simulated-annealing-joa-parallel,ex6_1_3bis,10.8924050001,11094
2,Simulated-annealing-joa-parallel,ex6_1_3bis,11.7044260001,11236
3,Simulated-annealing-joa-parallel,ex6_1_3bis,12.7379630001,11214
4,Simulated-annealing-joa-parallel,ex6_1_3bis,11.7548270001,11224
5,Simulated-annealing-joa-parallel,ex6_1_3bis,10.9244520001,11102
1,Simulated-annealing-joa-parallel,ex2_1_9,7.07406500001,5214
2,Simulated-annealing-joa-parallel,ex2_1_9,7.37850400001,5278
3,Simulated-annealing-joa-parallel,ex2_1_9,7.73443600001,5044
4,Simulated-annealing-joa-parallel,ex2_1_9,7.39214400001,4922
5,Simulated-annealing-joa-parallel,ex2_1_9,7.62405600001,5242
1,Simulated-annealing-joa-parallel,himmel16,16.2488070001,4830
