Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Simulated-annealing-joa,chem,1785.28620901,911960
2,Simulated-annealing-joa,chem,1816.12414101,915248
3,Simulated-annealing-joa,chem,1771.17951901,911278
4,Simulated-annealing-joa,chem,1912.66658701,917928
5,Simulated-annealing-joa,chem,1746.29373701,909476
1,Simulated-annealing-joa,chem-1,1835.36515701,911960
2,Simulated-annealing-joa,chem-1,1883.24987001,915248
3,Simulated-annealing-joa,chem-1,1850.83784501,911278
4,Simulated-annealing-joa,chem-1,1736.68773901,917928
5,Simulated-annealing-joa,chem-1,1704.73495201,909476
1,Simulated-annealing-joa,chembis,857.974508001,486056
2,Simulated-annealing-joa,chembis,876.824265001,490590
3,Simulated-annealing-joa,chembis,863.003611001,483554
4,Simulated-annealing-joa,chembis,867.945097001,482152
5,Simulated-annealing-joa,chembis,884.433698001,490926
1,Simulated-annealing-joa,ex6_1_3,78.8838690001,16952
2,Simulated-annealing-joa,ex6_1_3,77.8366360001,17736
3,Simulated-annealing-joa,ex6_1_3,73.7499060001,19082
4,Simulated-annealing-joa,ex6_1_3,85.3629290001,19708
5,Simulated-annealing-joa,ex6_1_3,80.5222640001,18436
1,Simulated-annealing-joa,ex6_2_10,457.927860001,331238
2,Simulated-annealing-joa,ex6_2_10,455.518766001,331238
3,Simulated-annealing-joa,ex6_2_10,460.474742001,331238
4,Simulated-annealing-joa,ex6_2_10,461.747808001,331238
5,Simulated-annealing-joa,ex6_2_10,456.971856001,330964
1,Simulated-annealing-joa,ex8_5_1bis,7.49873300001,4362
2,Simulated-annealing-joa,ex8_5_1bis,7.62767400001,4802
3,Simulated-annealing-joa,ex8_5_1bis,7.65313500001,3862
4,Simulated-annealing-joa,ex8_5_1bis,7.63086500001,4148
5,Simulated-annealing-joa,ex8_5_1bis,7.04313400001,4128
1,Simulated-annealing-joa,sambal,2029.21808501,478894
2,Simulated-annealing-joa,sambal,2378.21603601,559760
3,Simulated-annealing-joa,sambal,2052.12710301,480256
4,Simulated-annealing-joa,sambal,2035.06090901,469088
5,Simulated-annealing-joa,sambal,1972.41282301,457268
1,Simulated-annealing-joa,ex6_2_6,50.2806120001,60016
2,Simulated-annealing-joa,ex6_2_6,50.1235260001,60656
3,Simulated-annealing-joa,ex6_2_6,49.9982520001,60384
4,Simulated-annealing-joa,ex6_2_6,49.7560590001,60014
5,Simulated-annealing-joa,ex6_2_6,49.8106620001,60014
1,Simulated-annealing-joa,ex6_2_8,24.3146130001,31914
2,Simulated-annealing-joa,ex6_2_8,24.1423120001,31728
3,Simulated-annealing-joa,ex6_2_8,23.9399380001,31782
4,Simulated-annealing-joa,ex6_2_8,25.1153460001,31656
5,Simulated-annealing-joa,ex6_2_8,23.7541210001,31656
1,Simulated-annealing-joa,ex6_2_9,20.7876600001,21452
2,Simulated-annealing-joa,ex6_2_9,19.2869360001,21452
3,Simulated-annealing-joa,ex6_2_9,20.8834730001,21452
4,Simulated-annealing-joa,ex6_2_9,19.5815600001,21452
5,Simulated-annealing-joa,ex6_2_9,20.2427750001,21452
1,Simulated-annealing-joa,ex6_2_12,6.49775100001,7848
2,Simulated-annealing-joa,ex6_2_12,5.67426900001,7848
3,Simulated-annealing-joa,ex6_2_12,6.09294100001,7848
4,Simulated-annealing-joa,ex6_2_12,6.40898400001,7848
5,Simulated-annealing-joa,ex6_2_12,6.28755100001,7848
1,Simulated-annealing-joa,ex8_4_4bis,66.7299050001,77992
2,Simulated-annealing-joa,ex8_4_4bis,66.1475250001,76158
3,Simulated-annealing-joa,ex8_4_4bis,67.8822710001,79812
4,Simulated-annealing-joa,ex8_4_4bis,66.1622050001,76310
5,Simulated-annealing-joa,ex8_4_4bis,66.1004230001,77114
1,Simulated-annealing-joa,ex14_2_7,52.9666620001,14464
2,Simulated-annealing-joa,ex14_2_7,50.6863540001,14206
3,Simulated-annealing-joa,ex14_2_7,44.8501190001,12716
4,Simulated-annealing-joa,ex14_2_7,35.6524010001,9852
5,Simulated-annealing-joa,ex14_2_7,44.7780860001,12614
1,Simulated-annealing-joa,ex6_1_3bis,11.1866810001,11224
2,Simulated-annealing-joa,ex6_1_3bis,11.5203500001,11234
3,Simulated-annealing-joa,ex6_1_3bis,11.6784680001,11224
4,Simulated-annealing-joa,ex6_1_3bis,11.1512330001,11224
5,Simulated-annealing-joa,ex6_1_3bis,11.5088440001,11224
1,Simulated-annealing-joa,ex2_1_9,18.6937790001,12110
2,Simulated-annealing-joa,ex2_1_9,10.5656350001,7334
3,Simulated-annealing-joa,ex2_1_9,15.5378830001,10558
4,Simulated-annealing-joa,ex2_1_9,20.7701010001,13552
5,Simulated-annealing-joa,ex2_1_9,17.4731270001,13222
1,Simulated-annealing-joa,himmel16,9.95191400001,2016
2,Simulated-annealing-joa,himmel16,9.91714800001,2146
3,Simulated-annealing-joa,himmel16,9.82206500001,2146
4,Simulated-annealing-joa,himmel16,9.16566600001,2004
5,Simulated-annealing-joa,himmel16,9.27795900001,2004
1,Simulated-annealing-joa,ex2_1_7,31.2550090001,6662
2,Simulated-annealing-joa,ex2_1_7,26.7688720001,5690
3,Simulated-annealing-joa,ex2_1_7,28.3689950001,5960
4,Simulated-annealing-joa,ex2_1_7,34.1621570001,7352
5,Simulated-annealing-joa,ex2_1_7,25.1659170001,5266
1,Simulated-annealing-joa,ex2_1_8,20.7315410001,3374
2,Simulated-annealing-joa,ex2_1_8,24.3095470001,3912
3,Simulated-annealing-joa,ex2_1_8,17.1769090001,2728
4,Simulated-annealing-joa,ex2_1_8,17.9384050001,2638
5,Simulated-annealing-joa,ex2_1_8,19.0552750001,3094
1,Simulated-annealing-joa,launch,4.50709300001,198
2,Simulated-annealing-joa,launch,4.88143600001,236
3,Simulated-annealing-joa,launch,4.98896000001,200
4,Simulated-annealing-joa,launch,3.29771700001,182
5,Simulated-annealing-joa,launch,41.4105640001,7694
1,Simulated-annealing-joa,"hs088
",120.533183001,1346
2,Simulated-annealing-joa,"hs088
",127.430210001,1302
3,Simulated-annealing-joa,"hs088
",155.464159001,1332
4,Simulated-annealing-joa,"hs088
",176.165911001,1346
5,Simulated-annealing-joa,"hs088
",143.636613001,1288
1,Simulated-annealing-joa,"hs093
",415.246624001,411730
2,Simulated-annealing-joa,"hs093
",403.557035001,394020
3,Simulated-annealing-joa,"hs093
",452.758073001,467506
4,Simulated-annealing-joa,"hs093
",445.724509001,456762
5,Simulated-annealing-joa,"hs093
",412.575153001,405572
1,Simulated-annealing-joa,"hs102
",2096.83605001,984014
2,Simulated-annealing-joa,"hs102
",2096.96005301,990976
3,Simulated-annealing-joa,"hs102
",2112.02730601,987646
4,Simulated-annealing-joa,"hs102
",2083.98110501,972886
5,Simulated-annealing-joa,"hs102
",2232.33287101,1056680
1,Simulated-annealing-joa,"hs103
",619.987702001,279142
2,Simulated-annealing-joa,"hs103
",579.312788001,257160
3,Simulated-annealing-joa,"hs103
",600.917535001,274232
4,Simulated-annealing-joa,"hs103
",602.963535001,276214
5,Simulated-annealing-joa,"hs103
",592.139332001,266748
1,Simulated-annealing-joa,"hs108
",91.9211250001,37594
2,Simulated-annealing-joa,"hs108
",120.070147001,58394
3,Simulated-annealing-joa,"hs108
",117.260002001,52286
4,Simulated-annealing-joa,"hs108
",111.561132001,43290
5,Simulated-annealing-joa,"hs108
",105.372258001,42042
1,Simulated-annealing-joa,"hs113
",12.4736860001,5308
2,Simulated-annealing-joa,"hs113
",16.5625070001,6492
3,Simulated-annealing-joa,"hs113
",13.0063490001,5438
4,Simulated-annealing-joa,"hs113
",13.5708810001,5730
5,Simulated-annealing-joa,"hs113
",12.5386940001,5206
1,Simulated-annealing-joa,"dualc5
",75.4414110001,56962
2,Simulated-annealing-joa,"dualc5
",74.5650570001,55614
3,Simulated-annealing-joa,"dualc5
",76.9964050001,57424
4,Simulated-annealing-joa,"dualc5
",78.0752500001,59062
5,Simulated-annealing-joa,"dualc5
",76.2212980001,56408
1,Simulated-annealing-joa,"dualc8
",294.084501001,187254
2,Simulated-annealing-joa,"dualc8
",292.960874001,187066
3,Simulated-annealing-joa,"dualc8
",295.417734001,187888
4,Simulated-annealing-joa,"dualc8
",288.169440001,184994
5,Simulated-annealing-joa,"dualc8
",296.300527001,189942
1,Simulated-annealing-joa,"mistake
",1584.78506901,750930
2,Simulated-annealing-joa,"mistake
",1702.49568501,831428
3,Simulated-annealing-joa,"mistake
",874.070210001,440208
4,Simulated-annealing-joa,"mistake
",1255.71638001,726300
5,Simulated-annealing-joa,"mistake
",1039.23335501,633818
1,Simulated-annealing-joa,"odfits
",22.3294890001,18594
2,Simulated-annealing-joa,"odfits
",22.9376700001,18802
3,Simulated-annealing-joa,"odfits
",21.3783770001,18154
4,Simulated-annealing-joa,"odfits
",23.1803410001,18338
5,Simulated-annealing-joa,"odfits
",22.7606680001,18504
1,Simulated-annealing-joa,ex2_1_9bis,129.584984001,138536
2,Simulated-annealing-joa,ex2_1_9bis,128.939595001,136696
3,Simulated-annealing-joa,ex2_1_9bis,119.405983001,116898
4,Simulated-annealing-joa,ex2_1_9bis,139.610462001,143148
5,Simulated-annealing-joa,ex2_1_9bis,151.366851001,142960
