Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Simulated-annealing-parallel,ex2_1_8,8.03315700001,1552
2,Simulated-annealing-parallel,ex2_1_8,8.39394400001,1698
3,Simulated-annealing-parallel,ex2_1_8,8.13911500001,1682
4,Simulated-annealing-parallel,ex2_1_8,6.39177100001,1386
5,Simulated-annealing-parallel,ex2_1_8,10.6124710001,1728
1,Simulated-annealing-parallel,ex2_1_9,8.73422000001,5132
2,Simulated-annealing-parallel,ex2_1_9,8.25972700001,5274
3,Simulated-annealing-parallel,ex2_1_9,8.04092700001,5174
4,Simulated-annealing-parallel,ex2_1_9,8.34161200001,5238
5,Simulated-annealing-parallel,ex2_1_9,7.01974000001,5082
1,Simulated-annealing-parallel,ex6_1_3bis,12.2470800001,11166
2,Simulated-annealing-parallel,ex6_1_3bis,11.4656430001,11176
3,Simulated-annealing-parallel,ex6_1_3bis,12.2537750001,11070
4,Simulated-annealing-parallel,ex6_1_3bis,12.4591920001,11130
5,Simulated-annealing-parallel,ex6_1_3bis,11.5977070001,11290
1,Simulated-annealing-parallel,launch,2.45474500001,146
2,Simulated-annealing-parallel,launch,1.62200000001,90
3,Simulated-annealing-parallel,launch,2.57165900001,176
4,Simulated-annealing-parallel,launch,2.61492000001,204
5,Simulated-annealing-parallel,launch,2.10149800001,184
1,Simulated-annealing-parallel,ex14_2_7,32.7861050001,10404
2,Simulated-annealing-parallel,ex14_2_7,47.2660930001,15100
3,Simulated-annealing-parallel,ex14_2_7,32.1164330001,10576
4,Simulated-annealing-parallel,ex14_2_7,43.0264470001,12476
5,Simulated-annealing-parallel,ex14_2_7,33.9495450001,10890
1,Simulated-annealing-parallel,ex2_1_9fact,7.41246000001,5142
2,Simulated-annealing-parallel,ex2_1_9fact,6.99039300001,4974
3,Simulated-annealing-parallel,ex2_1_9fact,7.31981800001,5082
4,Simulated-annealing-parallel,ex2_1_9fact,6.97292000001,5152
5,Simulated-annealing-parallel,ex2_1_9fact,7.01249400001,5170
1,Simulated-annealing-parallel,ex6_1_4,0.423658000001,266
2,Simulated-annealing-parallel,ex6_1_4,0.354060000001,228
3,Simulated-annealing-parallel,ex6_1_4,0.635431000001,352
4,Simulated-annealing-parallel,ex6_1_4,0.398730000001,222
5,Simulated-annealing-parallel,ex6_1_4,0.392826000001,244
1,Simulated-annealing-parallel,ex6_2_6,55.2537400001,60054
2,Simulated-annealing-parallel,ex6_2_6,52.9580340001,59992
3,Simulated-annealing-parallel,ex6_2_6,53.9919100001,60288
4,Simulated-annealing-parallel,ex6_2_6,57.1277790001,60108
5,Simulated-annealing-parallel,ex6_2_6,52.8702120001,59832
1,Simulated-annealing-parallel,ex6_2_8,26.2041350001,31782
2,Simulated-annealing-parallel,ex6_2_8,28.0554640001,31814
3,Simulated-annealing-parallel,ex6_2_8,26.8956650001,31970
4,Simulated-annealing-parallel,ex6_2_8,27.4296900001,31842
5,Simulated-annealing-parallel,ex6_2_8,26.1864020001,31866
1,Simulated-annealing-parallel,ex7_3_4,1.81560600001,526
2,Simulated-annealing-parallel,ex7_3_4,1.52382100001,388
3,Simulated-annealing-parallel,ex7_3_4,1.44820600001,382
4,Simulated-annealing-parallel,ex7_3_4,1.39229600001,404
5,Simulated-annealing-parallel,ex7_3_4,1.40601600001,406
1,Simulated-annealing-parallel,ex7_3_4bis,1.25688800001,882
2,Simulated-annealing-parallel,ex7_3_4bis,2.01008600001,1234
3,Simulated-annealing-parallel,ex7_3_4bis,1.85966100001,1210
4,Simulated-annealing-parallel,ex7_3_4bis,1.26555300001,830
5,Simulated-annealing-parallel,ex7_3_4bis,1.28276500001,918
1,Simulated-annealing-parallel,ex14_2_3,1.55435700001,662
2,Simulated-annealing-parallel,ex14_2_3,1.57678100001,662
3,Simulated-annealing-parallel,ex14_2_3,1.40623100001,586
4,Simulated-annealing-parallel,ex14_2_3,1.28251500001,562
5,Simulated-annealing-parallel,ex14_2_3,1.02180400001,448
1,Simulated-annealing-parallel,haverly,0.582347000001,158
2,Simulated-annealing-parallel,haverly,0.592159000001,156
3,Simulated-annealing-parallel,haverly,0.586529000001,156
4,Simulated-annealing-parallel,haverly,0.646749000001,160
5,Simulated-annealing-parallel,haverly,0.589399000001,152
