Seed,Solucion Empleada,Problema,Tiempo,Nodos
1,Simulated-annealing,chem,1784.94191601,906056
2,Simulated-annealing,chem,1829.97647201,909942
3,Simulated-annealing,chem,1809.45751201,915648
4,Simulated-annealing,chem,1908.81330901,914506
5,Simulated-annealing,chem,1792.97973601,922680
1,Simulated-annealing,chem-1,1828.27976401,906056
2,Simulated-annealing,chem-1,1910.74409401,909942
3,Simulated-annealing,chem-1,1883.03531401,915648
4,Simulated-annealing,chem-1,1749.97634201,914506
5,Simulated-annealing,chem-1,1747.55576801,922680
1,Simulated-annealing,chembis,872.695548001,486726
2,Simulated-annealing,chembis,893.232427001,493888
3,Simulated-annealing,chembis,886.017518001,486534
4,Simulated-annealing,chembis,886.160496001,491118
5,Simulated-annealing,chembis,884.233978001,490912
1,Simulated-annealing,ex6_1_3,61.2422790001,16506
2,Simulated-annealing,ex6_1_3,84.2148240001,18348
3,Simulated-annealing,ex6_1_3,70.2923540001,14688
4,Simulated-annealing,ex6_1_3,66.3424650001,17792
5,Simulated-annealing,ex6_1_3,80.0613890001,18568
1,Simulated-annealing,ex6_2_10,458.533623001,330662
2,Simulated-annealing,ex6_2_10,461.016005001,330662
3,Simulated-annealing,ex6_2_10,461.734393001,330334
4,Simulated-annealing,ex6_2_10,464.743664001,330334
5,Simulated-annealing,ex6_2_10,461.936289001,330334
1,Simulated-annealing,ex8_5_1bis,8.34817600001,4290
2,Simulated-annealing,ex8_5_1bis,7.40178500001,4058
3,Simulated-annealing,ex8_5_1bis,8.94260800001,4982
4,Simulated-annealing,ex8_5_1bis,7.49668200001,4448
5,Simulated-annealing,ex8_5_1bis,8.06734100001,4340
1,Simulated-annealing,sambal,2150.37359401,494570
2,Simulated-annealing,sambal,2156.67946501,496976
3,Simulated-annealing,sambal,2102.56058501,485906
4,Simulated-annealing,sambal,2076.86018601,478204
5,Simulated-annealing,sambal,2113.84735801,492402
1,Simulated-annealing,ex6_2_6,50.6996730001,60150
2,Simulated-annealing,ex6_2_6,50.0521880001,60150
3,Simulated-annealing,ex6_2_6,49.6881550001,59818
4,Simulated-annealing,ex6_2_6,50.6468960001,60420
5,Simulated-annealing,ex6_2_6,50.3743800001,59836
1,Simulated-annealing,ex6_2_8,24.9224740001,31686
2,Simulated-annealing,ex6_2_8,24.9494820001,31776
3,Simulated-annealing,ex6_2_8,23.1066410001,31592
4,Simulated-annealing,ex6_2_8,25.1866850001,31962
5,Simulated-annealing,ex6_2_8,24.0469530001,31714
1,Simulated-annealing,ex6_2_9,20.7837680001,21512
2,Simulated-annealing,ex6_2_9,19.7433570001,21512
3,Simulated-annealing,ex6_2_9,20.7633740001,21512
4,Simulated-annealing,ex6_2_9,19.7263860001,21508
5,Simulated-annealing,ex6_2_9,21.1048720001,21508
1,Simulated-annealing,ex6_2_12,6.18857400001,7866
2,Simulated-annealing,ex6_2_12,5.71116500001,7866
3,Simulated-annealing,ex6_2_12,6.46180400001,7866
4,Simulated-annealing,ex6_2_12,6.56666900001,7780
5,Simulated-annealing,ex6_2_12,6.73084600001,7780
1,Simulated-annealing,ex8_4_4bis,69.3722230001,79432
2,Simulated-annealing,ex8_4_4bis,68.5651500001,76622
3,Simulated-annealing,ex8_4_4bis,67.0529830001,75898
4,Simulated-annealing,ex8_4_4bis,66.6657220001,76698
5,Simulated-annealing,ex8_4_4bis,68.7600530001,79806
1,Simulated-annealing,ex14_2_7,50.5196560001,12984
2,Simulated-annealing,ex14_2_7,61.8861010001,16184
3,Simulated-annealing,ex14_2_7,41.1819860001,10516
4,Simulated-annealing,ex14_2_7,63.2975160001,15868
5,Simulated-annealing,ex14_2_7,49.4579070001,12356
1,Simulated-annealing,ex6_1_3bis,11.0962270001,11216
2,Simulated-annealing,ex6_1_3bis,11.6120380001,11216
3,Simulated-annealing,ex6_1_3bis,11.8978890001,11250
4,Simulated-annealing,ex6_1_3bis,11.5485910001,11250
5,Simulated-annealing,ex6_1_3bis,11.3078550001,11250
1,Simulated-annealing,ex2_1_9,8.66373200001,5334
2,Simulated-annealing,ex2_1_9,8.21431300001,5294
3,Simulated-annealing,ex2_1_9,7.94369900001,5166
4,Simulated-annealing,ex2_1_9,8.11001600001,5294
5,Simulated-annealing,ex2_1_9,7.92242300001,5188
1,Simulated-annealing,himmel16,10.5391330001,2074
2,Simulated-annealing,himmel16,10.4438160001,2294
3,Simulated-annealing,himmel16,10.2912180001,2294
4,Simulated-annealing,himmel16,10.9570860001,2434
5,Simulated-annealing,himmel16,10.9316290001,2294
1,Simulated-annealing,ex2_1_7,11.6671250001,2426
2,Simulated-annealing,ex2_1_7,11.8822880001,2468
3,Simulated-annealing,ex2_1_7,12.3841690001,2454
4,Simulated-annealing,ex2_1_7,14.9780640001,3058
5,Simulated-annealing,ex2_1_7,11.5159460001,2416
1,Simulated-annealing,ex2_1_8,13.4224130001,1990
2,Simulated-annealing,ex2_1_8,15.7843060001,2342
3,Simulated-annealing,ex2_1_8,17.7308550001,2754
4,Simulated-annealing,ex2_1_8,18.3656220001,2824
5,Simulated-annealing,ex2_1_8,24.7264560001,3940
1,Simulated-annealing,launch,1.47088200001,66
2,Simulated-annealing,launch,4.01276900001,148
